op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op118,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op118,9375,9249.19,0.98658,0.0586468,Default,545
Host,ReluGrad,ReluGrad-op116,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op116,9375,1105.62,0.117932,0.00701044,Default,545
Host,ApplyMomentum,ApplyMomentum-op119,Default/optimizer-Momentum/ApplyMomentum-op119,9375,62.5795,0.00667515,0.000396801,Default,545
Host,MaxPoolGrad,MaxPoolGrad-op115,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op115,9375,13509.6,1.44102,0.0856608,Default,545
Host,Conv2DBackpropInput,Conv2DBackpropInput-op113,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropInput-op113,9375,8241.97,0.879143,0.0522603,Default,545
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op112,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op112,9375,14432.9,1.53951,0.0915154,Default,545
Host,ReluGrad,ReluGrad-op111,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op111,9375,1015.28,0.108297,0.00643764,Default,545
Host,ReLU,ReLU-op89,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op89,9375,1294.9,0.138123,0.00821063,Default,545
Host,BiasAddGrad,BiasAddGrad-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op106,9375,68.794,0.00733802,0.000436206,Default,545
Host,ApplyMomentum,ApplyMomentum-op110,Default/optimizer-Momentum/ApplyMomentum-op110,9375,219.683,0.0234329,0.00139296,Default,545
Host,BiasAdd,BiasAdd-op88,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op88,9375,35.4732,0.00378381,0.000224927,Default,545
Host,MatMul,MatMul-op87,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op87,9375,1937.06,0.20662,0.0122824,Default,545
Host,BiasAdd,BiasAdd-op91,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op91,9375,23.115,0.0024656,0.000146567,Default,545
Host,ReLU,ReLU-op86,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op86,9375,1544.71,0.16477,0.00979465,Default,545
Host,BiasAdd,BiasAdd-op85,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op85,9375,47.473,0.00506379,0.000301014,Default,545
Host,BiasAddGrad,BiasAddGrad-op94,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op94,9375,22.5639,0.00240682,0.000143072,Default,545
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op92,Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op92,9375,1213.69,0.12946,0.00769571,Default,545
Host,MatMul,MatMul-op96,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op96,9375,725.219,0.0773567,0.00459843,Default,545
Host,ReLU,ReLU-op78,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op78,9375,10876.9,1.1602,0.0689678,Default,545
Host,Conv2D,Conv2D-op80,Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/Conv2D-op80,9375,33616.6,3.58577,0.213154,Default,545
Host,MatMul,MatMul-op90,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op90,9375,312.371,0.0333196,0.00198067,Default,545
Host,MaxPool,MaxPool-op82,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op82,9375,10183.4,1.08623,0.0645705,Default,545
Host,ReLU,ReLU-op81,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op81,9375,4869.42,0.519404,0.0308758,Default,545
Host,MatMul,MatMul-op104,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op104,9375,1631.34,0.174009,0.0103439,Default,545
Host,MatMul,MatMul-op84,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op84,9375,1968.99,0.210026,0.0124849,Default,545
Host,MatMul,MatMul-op95,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op95,9375,768.721,0.081997,0.00487427,Default,545
Host,Conv2D,Conv2D-op77,Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/Conv2D-op77,9375,6339.26,0.676188,0.0401957,Default,545
Host,ApplyMomentum,ApplyMomentum-op97,Default/optimizer-Momentum/ApplyMomentum-op97,9375,10.1397,0.00108157,6.42933e-05,Default,545
Host,ApplyMomentum,ApplyMomentum-op114,Default/optimizer-Momentum/ApplyMomentum-op114,9375,12.9223,0.00137838,8.19369e-05,Default,545
Host,MatMul,MatMul-op101,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op101,9375,1123.9,0.119882,0.00712636,Default,545
Host,ApplyMomentum,ApplyMomentum-op120,Default/optimizer-Momentum/ApplyMomentum-op120,9375,12.4357,0.00132648,7.88518e-05,Default,545
Host,ReluGrad,ReluGrad-op98,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op98,9375,100.089,0.0106762,0.00063464,Default,545
Host,MaxPool,MaxPool-op79,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op79,9375,19893.3,2.12195,0.126139,Default,545
Host,ApplyMomentum,ApplyMomentum-op102,Default/optimizer-Momentum/ApplyMomentum-op102,9375,30.7948,0.00328478,0.000195263,Default,545
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op93,Gradients/Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/gradSparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op93,9375,1163.13,0.124067,0.00737512,Default,545
Host,Reshape,Reshape-op83,Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/Reshape-op83,9375,216.42,0.0230848,0.00137227,Default,545
Host,BiasAddGrad,BiasAddGrad-op99,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op99,9375,52.2682,0.00557527,0.000331419,Default,545
Host,MatMul,MatMul-op100,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op100,9375,992.521,0.105869,0.00629333,Default,545
Host,MatMul,MatMul-op105,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op105,9375,2059.98,0.219731,0.0130618,Default,545
Host,ApplyMomentum,ApplyMomentum-op117,Default/optimizer-Momentum/ApplyMomentum-op117,9375,1007.88,0.107507,0.00639069,Default,545
Host,ApplyMomentum,ApplyMomentum-op107,Default/optimizer-Momentum/ApplyMomentum-op107,9375,11.2513,0.00120014,7.1342e-05,Default,545
Host,MaxPoolGrad,MaxPoolGrad-op109,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op109,9375,5432.86,0.579505,0.0344484,Default,545
Host,ReluGrad,ReluGrad-op103,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op103,9375,62.05,0.00661867,0.000393444,Default,545
Host,Reshape,Reshape-op108,Gradients/Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/gradReshape/Reshape-op108,9375,211.246,0.022533,0.00133946,Default,545
