op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op118,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op118,9375,9327.21,0.994902,0.0605376,Default,1078
Host,ReluGrad,ReluGrad-op116,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op116,9375,980.357,0.104571,0.00636294,Default,1078
Host,ApplyMomentum,ApplyMomentum-op119,Default/optimizer-Momentum/ApplyMomentum-op119,9375,60.965,0.00650293,0.000395689,Default,1078
Host,MaxPoolGrad,MaxPoolGrad-op115,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op115,9375,12779,1.36309,0.0829413,Default,1078
Host,Conv2DBackpropInput,Conv2DBackpropInput-op113,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropInput-op113,9375,8168.59,0.871317,0.0530177,Default,1078
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op112,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op112,9375,14535.6,1.55046,0.094342,Default,1078
Host,ReluGrad,ReluGrad-op111,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op111,9375,850.631,0.090734,0.00552096,Default,1078
Host,ReLU,ReLU-op89,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op89,9375,1235.75,0.131813,0.00802053,Default,1078
Host,BiasAddGrad,BiasAddGrad-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op106,9375,102.215,0.0109029,0.000663417,Default,1078
Host,ApplyMomentum,ApplyMomentum-op110,Default/optimizer-Momentum/ApplyMomentum-op110,9375,212.648,0.0226824,0.00138017,Default,1078
Host,BiasAdd,BiasAdd-op88,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op88,9375,35.0253,0.00373603,0.000227329,Default,1078
Host,MatMul,MatMul-op87,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op87,9375,2105.6,0.224598,0.0136663,Default,1078
Host,BiasAdd,BiasAdd-op91,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op91,9375,22.2808,0.00237662,0.000144612,Default,1078
Host,ReLU,ReLU-op86,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op86,9375,1526.3,0.162805,0.00990635,Default,1078
Host,BiasAdd,BiasAdd-op85,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op85,9375,49.155,0.0052432,0.000319037,Default,1078
Host,BiasAddGrad,BiasAddGrad-op94,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op94,9375,22.5842,0.00240899,0.000146582,Default,1078
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op92,Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op92,9375,1125.36,0.120039,0.00730409,Default,1078
Host,MatMul,MatMul-op96,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op96,9375,686.18,0.0731925,0.0044536,Default,1078
Host,ReLU,ReLU-op78,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op78,9375,10347.6,1.10374,0.0671604,Default,1078
Host,Conv2D,Conv2D-op80,Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/Conv2D-op80,9375,34433.7,3.67292,0.223489,Default,1078
Host,MatMul,MatMul-op90,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op90,9375,266.823,0.0284611,0.0017318,Default,1078
Host,MaxPool,MaxPool-op82,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op82,9375,10694.3,1.14073,0.0694108,Default,1078
Host,ReLU,ReLU-op81,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op81,9375,4916.2,0.524394,0.0319083,Default,1078
Host,MatMul,MatMul-op104,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op104,9375,1588.42,0.169432,0.0103096,Default,1078
Host,MatMul,MatMul-op84,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op84,9375,1895.83,0.202222,0.0123048,Default,1078
Host,MatMul,MatMul-op95,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op95,9375,779.114,0.0831055,0.00505679,Default,1078
Host,Conv2D,Conv2D-op77,Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/Conv2D-op77,9375,5956.26,0.635334,0.0386587,Default,1078
