op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
MatMul,84375,9,11561.8,0.137029,0.0750412
Reshape,18750,2,413.869,0.022073,0.00268619
MaxPool,18750,2,27293.6,1.45566,0.177148
BiasAdd,28125,3,106.461,0.00378528,0.000690979
BiasAddGrad,28125,3,283.398,0.0100764,0.00183938
SparseSoftmaxCrossEntropyWithLogits,18750,2,2447.96,0.130558,0.0158884
ReluGrad,37500,4,2052.94,0.0547451,0.0133245
Conv2D,18750,2,40389.9,2.15413,0.262148
Conv2DBackpropFilter,18750,2,23862.8,1.27268,0.15488
ApplyMomentum,75000,8,1302.81,0.0173708,0.00845579
MaxPoolGrad,18750,2,18162.9,0.96869,0.117885
Conv2DBackpropInput,9375,1,8168.59,0.871317,0.0530177
ReLU,37500,4,18025.9,0.480689,0.116996
