====================op compute time====================
op_name       compute_time(ms) stream_id
------------  ---------------  ---------
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26 0.004420600000000003  4
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6 0.0011913999999999983  4
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8 0.001092199999999998  4
Default/AtomicAddrClean-op28 0.0011555  4
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9 0.0010874000000000012  4
Default/Mul-op7 0.0011250999999999998  4
Default/AtomicAddrClean-op29 0.001183499999999999  4
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12 0.0012054000000000001  4
Default/AtomicAddrClean-op30 0.0011920999999999993  4
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11 0.001171099999999998  4
Default/optimizer-Momentum/ApplyMomentum-op16 0.0012062999999999998  4
Default/optimizer-Momentum/ApplyMomentum-op18 0.0012005000000000002  4
total op  0.017231099999999996 0
