op_name, stream_id, start_time(ms), duration(ms)
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614254.30433,0.00649
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614254.3112,0.00163
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614254.3132,0.00141
Default/AtomicAddrClean-op28,4,3189614254.31499,0.00155
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614254.31692,0.00145
Default/Mul-op7,4,3189614254.31875,0.00162
Default/AtomicAddrClean-op29,4,3189614254.32074,0.00136
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614254.32221,0.00169
Default/AtomicAddrClean-op30,4,3189614254.32402,0.00135
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614254.32548,0.00156
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614254.32715,0.00165
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614254.32891,0.00159
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614272.25473,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614272.25923,0.00142
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614272.26076,0.00122
Default/AtomicAddrClean-op28,4,3189614272.26209,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614272.26334,0.00113
Default/Mul-op7,4,3189614272.26458,0.00111
Default/AtomicAddrClean-op29,4,3189614272.2658,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614272.2671,0.00125
Default/AtomicAddrClean-op30,4,3189614272.26847,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614272.26976,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614272.27104,0.00128
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614272.27243,0.00119
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614274.00164,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614274.00615,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614274.00742,0.00109
Default/AtomicAddrClean-op28,4,3189614274.00862,0.00118
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614274.00991,0.00119
Default/Mul-op7,4,3189614274.01121,0.00111
Default/AtomicAddrClean-op29,4,3189614274.01243,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614274.01373,0.00121
Default/AtomicAddrClean-op30,4,3189614274.01505,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614274.01635,0.00118
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614274.01765,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614274.01898,0.00118
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614275.79869,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614275.8032,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614275.8045,0.00109
Default/AtomicAddrClean-op28,4,3189614275.8057,0.00115
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614275.80696,0.00107
Default/Mul-op7,4,3189614275.80814,0.00115
Default/AtomicAddrClean-op29,4,3189614275.8094,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614275.8107,0.00119
Default/AtomicAddrClean-op30,4,3189614275.812,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614275.8133,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614275.81458,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614275.81591,0.00126
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614277.65837,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614277.66288,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614277.66418,0.00109
Default/AtomicAddrClean-op28,4,3189614277.66538,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614277.66663,0.00107
Default/Mul-op7,4,3189614277.66781,0.00116
Default/AtomicAddrClean-op29,4,3189614277.66908,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614277.67038,0.00119
Default/AtomicAddrClean-op30,4,3189614277.67168,0.00121
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614277.673,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614277.67427,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614277.67561,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614279.40664,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614279.41114,0.00116
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614279.41241,0.00109
Default/AtomicAddrClean-op28,4,3189614279.41362,0.00118
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614279.41491,0.0011
Default/Mul-op7,4,3189614279.41612,0.00116
Default/AtomicAddrClean-op29,4,3189614279.41739,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614279.41869,0.00119
Default/AtomicAddrClean-op30,4,3189614279.42,0.00117
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614279.42128,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614279.42255,0.00121
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614279.42387,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614281.13576,0.00445
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614281.14032,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614281.14162,0.00108
Default/AtomicAddrClean-op28,4,3189614281.14281,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614281.14407,0.00107
Default/Mul-op7,4,3189614281.14525,0.00115
Default/AtomicAddrClean-op29,4,3189614281.14651,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614281.14781,0.00119
Default/AtomicAddrClean-op30,4,3189614281.14911,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614281.15041,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614281.15169,0.00122
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614281.15302,0.00123
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614282.94482,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614282.94933,0.00125
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614282.95069,0.0011
Default/AtomicAddrClean-op28,4,3189614282.9519,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614282.95315,0.00107
Default/Mul-op7,4,3189614282.95433,0.00111
Default/AtomicAddrClean-op29,4,3189614282.95555,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614282.95685,0.00121
Default/AtomicAddrClean-op30,4,3189614282.95817,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614282.95947,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614282.96074,0.00118
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614282.96204,0.00117
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614284.69981,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614284.70432,0.00116
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614284.70559,0.00109
Default/AtomicAddrClean-op28,4,3189614284.70679,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614284.70809,0.0011
Default/Mul-op7,4,3189614284.7093,0.00115
Default/AtomicAddrClean-op29,4,3189614284.71056,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614284.71186,0.0012
Default/AtomicAddrClean-op30,4,3189614284.71317,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614284.71447,0.00119
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614284.71577,0.00123
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614284.71711,0.00117
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614286.28955,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614286.29406,0.00121
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614286.29538,0.0011
Default/AtomicAddrClean-op28,4,3189614286.29659,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614286.29785,0.0011
Default/Mul-op7,4,3189614286.29906,0.00115
Default/AtomicAddrClean-op29,4,3189614286.30032,0.00115
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614286.30158,0.0012
Default/AtomicAddrClean-op30,4,3189614286.30289,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614286.30419,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614286.30547,0.00117
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614286.30675,0.00119
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614287.90023,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614287.90474,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614287.90604,0.00108
Default/AtomicAddrClean-op28,4,3189614287.90723,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614287.90849,0.00107
Default/Mul-op7,4,3189614287.90967,0.00111
