step_num,start_point,end_point,total,fp_point,bp_point,iteration_interval,fp_and_bp,tail
1,318961425429987,318961425434921,4934,318961425429987,318961425434276,0,4289,645
2,318961425434921,318961427228840,1793919,318961427225107,318961427228239,1790186,3132,601
3,318961427228840,318961427403661,174821,318961427399688,318961427402996,170848,3308,665
4,318961427403661,318961427583586,179925,318961427579503,318961427582724,175842,3221,862
5,318961427583586,318961427769125,185539,318961427765487,318961427768579,181901,3092,546
6,318961427769125,318961427944028,174903,318961427940262,318961427943396,171137,3134,632
7,318961427944028,318961428116737,172709,318961428113215,318961428116177,169187,2962,560
8,318961428116737,318961428297558,180821,318961428294100,318961428297202,177363,3102,356
9,318961428297558,318961428473350,175792,318961428469552,318961428472709,171994,3157,641
10,318961428473350,318961428633066,159716,318961428628519,318961428632609,155169,4090,457
11,318961428633066,318961428793246,160180,318961428789618,318961428792754,156552,3136,492
12,318961428793246,318961428957090,163844,318961428953103,318961428956374,159857,3271,716
13,318961428957090,318961429117135,160045,318961429113470,318961429116593,156380,3123,542
14,318961429117135,318961429294525,177390,318961429290873,318961429293903,173738,3030,622
15,318961429294525,318961429464498,169973,318961429461017,318961429464013,166492,2996,485
16,318961429464498,318961429645239,180741,318961429641632,318961429644642,177134,3010,597
17,318961429645239,318961429819364,174125,318961429815664,318961429818612,170425,2948,752
18,318961429819364,318961429986558,167194,318961429982947,318961429985864,163583,2917,694
19,318961429986558,318961430159727,173169,318961430156098,318961430158984,169540,2886,743
20,318961430159727,318961430346343,186616,318961430342733,318961430345788,183006,3055,555
21,318961430346343,318961430515573,169230,318961430512017,318961430515245,165674,3228,328
22,318961430515573,318961430686396,170823,318961430682707,318961430685850,167134,3143,546
23,318961430686396,318961430859938,173542,318961430856014,318961430859330,169618,3316,608
24,318961430859938,318961431041175,181237,318961431037402,318961431040462,177464,3060,713
25,318961431041175,318961431212534,171359,318961431209018,318961431211945,167843,2927,589
26,318961431212534,318961431382842,170308,318961431379098,318961431382200,166564,3102,642
27,318961431382842,318961431582924,200082,318961431579257,318961431582255,196415,2998,669
28,318961431582924,318961431774532,191608,318961431771113,318961431774041,188189,2928,491
29,318961431774532,318961431945975,171443,318961431942479,318961431945523,167947,3044,452
30,318961431945975,318961432131176,185201,318961432127566,318961432130645,181591,3079,531
31,318961432131176,318961432324608,193432,318961432320555,318961432324178,189379,3623,430
32,318961432324608,318961432500877,176269,318961432497292,318961432500360,172684,3068,517
33,318961432500877,318961432676900,176023,318961432673279,318961432676343,172402,3064,557
34,318961432676900,318961432852328,175428,318961432848147,318961432851655,171247,3508,673
35,318961432852328,318961433036657,184329,318961433033019,318961433036106,180691,3087,551
36,318961433036657,318961433223409,186752,318961433219770,318961433222784,183113,3014,625
37,318961433223409,318961433400021,176612,318961433396041,318961433399245,172632,3204,776
38,318961433400021,318961433576467,176446,318961433572863,318961433575890,172842,3027,577
39,318961433576467,318961433748141,171674,318961433743981,318961433747328,167514,3347,813
40,318961433748141,318961433921129,172988,318961433917475,318961433920563,169334,3088,566
41,318961433921129,318961434090735,169606,318961434087192,318961434090148,166063,2956,587
42,318961434090735,318961434265719,174984,318961434262266,318961434265363,171531,3097,356
43,318961434265719,318961434436691,170972,318961434433079,318961434436172,167360,3093,519
44,318961434436691,318961434607137,170446,318961434603546,318961434606702,166855,3156,435
45,318961434607137,318961434779072,171935,318961434774850,318961434778306,167713,3456,766
46,318961434779072,318961434948656,169584,318961434944599,318961434948031,165527,3432,625
47,318961434948656,318961435124722,176066,318961435120987,318961435123951,172331,2964,771
48,318961435124722,318961435292444,167722,318961435288831,318961435291880,164109,3049,564
49,318961435292444,318961435460436,167992,318961435456925,318961435459890,164481,2965,546
50,318961435460436,318961435628562,168126,318961435625098,318961435628036,164662,2938,526
51,318961435628562,318961435798305,169743,318961435794549,318961435797606,165987,3057,699
52,318961435798305,318961435969919,171614,318961435966132,318961435969473,167827,3341,446
53,318961435969919,318961436139168,169249,318961436135498,318961436138551,165579,3053,617
54,318961436139168,318961436311124,171956,318961436307654,318961436310686,168486,3032,438
55,318961436311124,318961436481751,170627,318961436478040,318961436481209,166916,3169,542
56,318961436481751,318961436655663,173912,318961436651870,318961436655126,170119,3256,537
57,318961436655663,318961436826707,171044,318961436822765,318961436825905,167102,3140,802
58,318961436826707,318961436995737,169030,318961436992153,318961436995158,165446,3005,579
59,318961436995737,318961437166895,171158,318961437163384,318961437166488,167647,3104,407
60,318961437166895,318961437338178,171283,318961437334442,318961437337499,167547,3057,679
61,318961437338178,318961437511384,173206,318961437507866,318961437510811,169688,2945,573
62,318961437511384,318961437675534,164150,318961437671883,318961437674905,160499,3022,629
63,318961437675534,318961437841194,165660,318961437837622,318961437840616,162088,2994,578
64,318961437841194,318961438005547,164353,318961438001714,318961438004786,160520,3072,761
65,318961438005547,318961438168778,163231,318961438165267,318961438168229,159720,2962,549
66,318961438168778,318961438350927,182149,318961438347356,318961438350507,178578,3151,420
67,318961438350927,318961438522505,171578,318961438518246,318961438521722,167319,3476,783
68,318961438522505,318961438694802,172297,318961438691175,318961438694191,168670,3016,611
69,318961438694802,318961438865235,170433,318961438861452,318961438864467,166650,3015,768
70,318961438865235,318961439035724,170489,318961439032019,318961439035121,166784,3102,603
71,318961439035724,318961439210594,174870,318961439206745,318961439209946,171021,3201,648
72,318961439210594,318961439379768,169174,318961439376098,318961439379137,165504,3039,631
73,318961439379768,318961439552206,172438,318961439548234,318961439551774,168466,3540,432
74,318961439552206,318961439726507,174301,318961439722998,318961439726010,170792,3012,497
75,318961439726507,318961439899536,173029,318961439895769,318961439898817,169262,3048,719
76,318961439899536,318961440069867,170331,318961440066381,318961440069420,166845,3039,447
77,318961440069867,318961440242605,172738,318961440239231,318961440242259,169364,3028,346
78,318961440242605,318961440415136,172531,318961440411196,318961440414546,168591,3350,590
79,318961440415136,318961440585910,170774,318961440582252,318961440585345,167116,3093,565
80,318961440585910,318961440767199,181289,318961440763787,318961440766629,177877,2842,570
81,318961440767199,318961440943231,176032,318961440939721,318961440942764,172522,3043,467
82,318961440943231,318961441122265,179034,318961441118759,318961441121671,175528,2912,594
83,318961441122265,318961441301041,178776,318961441297309,318961441300330,175044,3021,711
84,318961441301041,318961441484529,183488,318961441481218,318961441484217,180177,2999,312
85,318961441484529,318961441652568,168039,318961441649048,318961441652043,164519,2995,525
86,318961441652568,318961441820060,167492,318961441816862,318961441819699,164294,2837,361
87,318961441820060,318961441991648,171588,318961441987801,318961441991008,167741,3207,640
88,318961441991648,318961442161636,169988,318961442157986,318961442161208,166338,3222,428
89,318961442161636,318961442334437,172801,318961442330272,318961442333775,168636,3503,662
90,318961442334437,318961442498070,163633,318961442494387,318961442497570,159950,3183,500
91,318961442498070,318961442662259,164189,318961442658590,318961442661751,160520,3161,508
92,318961442662259,318961442826722,164463,318961442823063,318961442826127,160804,3064,595
93,318961442826722,318961442991017,164295,318961442987388,318961442990405,160666,3017,612
94,318961442991017,318961443167403,176386,318961443163549,318961443167017,172532,3468,386
95,318961443167403,318961443337473,170070,318961443333743,318961443336900,166340,3157,573
96,318961443337473,318961443508916,171443,318961443505425,318961443508403,167952,2978,513
97,318961443508916,318961443683695,174779,318961443680040,318961443683101,171124,3061,594
98,318961443683695,318961443855574,171879,318961443852113,318961443855025,168418,2912,549
99,318961443855574,318961444025718,170144,318961444022257,318961444025392,166683,3135,326
100,318961444025718,318961444195685,169967,318961444192009,318961444195150,166291,3141,535
-,318961435566354,318961435755857,189503,318961435752165,318961435755284,185811,3118,573
