Default/network-WithLossCell/_loss_fn-MSELoss/Square-op29;HostCpuOps;3189282231071250,0.01349 3189282246945640,0.00211 3189282248497370,0.00127 3189282249919310,0.0011 3189282251287200,0.00139 3189282252676090,0.00112 3189282254055240,0.00113 3189282255374860,0.00097 3189282256734150,0.00131 3189282258098020,0.00098 3189282259463150,0.0009 3189282260857260,0.00112 3189282262210820,0.00082 3189282263579330,0.00111 3189282264981370,0.00104 3189282266340900,0.00116 3189282267680030,0.00105 3189282269038860,0.00121 3189282270392940,0.001 3189282271729580,0.00068 3189282273080700,0.00104 3189282274430860,0.00131 3189282275782640,0.00075 3189282277149810,0.0011 3189282278568680,0.00099 3189282279885730,0.00076 3189282281248660,0.00132 3189282282582570,0.00089 3189282283926850,0.00093 3189282285293900,0.00095 3189282286626460,0.00143 3189282287962930,0.00102 3189282289320360,0.00087 3189282290678350,0.00107 3189282292004310,0.00106 3189282293312480,0.00085 3189282294675500,0.00092 3189282295991290,0.00108 3189282297359160,0.00079 3189282298704420,0.00084 3189282300037010,0.00116 3189282301390950,0.00099 3189282302740940,0.0008 3189282304094600,0.00126 3189282305437670,0.0009 3189282306825850,0.00128 3189282308241950,0.00069 3189282309578330,0.00099 3189282310947720,0.00097 3189282312314880,0.00107 3189282313674040,0.00106 3189282315089000,0.0013 3189282316386380,0.00073 3189282317685270,0.00079 3189282318990260,0.00099 3189282320267780,0.0011 3189282321557330,0.00108 3189282322882690,0.00088 3189282324175700,0.00071 3189282325475080,0.00106 3189282326757930,0.0007 3189282328042240,0.00071 3189282329351900,0.00065 3189282330635110,0.00086 3189282331939760,0.00085 3189282333289550,0.00139 3189282334590590,0.0012 3189282335893000,0.00096 3189282337192590,0.00108 3189282338487750,0.00126 3189282339822710,0.00097 3189282341189620,0.00081 3189282342490370,0.00117 3189282343788850,0.00094 3189282345091870,0.00091 3189282346370760,0.00108 3189282347650520,0.00089 3189282348955260,0.00105 3189282350258490,0.00081 3189282351541630,0.00084 3189282352823280,0.00082 3189282354118080,0.00097 3189282355387960,0.00105 3189282356717320,0.001 3189282357998440,0.00097 3189282359285080,0.00092 3189282360586180,0.001 3189282361868260,0.00121 3189282363150600,0.00096 3189282364439780,0.00105 3189282365730510,0.00081 3189282367003620,0.00097 3189282368282630,0.00091 3189282369579840,0.00121 3189282370867100,0.00075 3189282372156580,0.00103 3189282373457920,0.00097 3189282374727320,0.00106 3189282376019170,0.00099 3189282377320320,0.00127 
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op28;HostCpuOps;3189282231029650,0.00631 3189282246929120,0.00228 3189282248482730,0.00156 3189282249904580,0.00095 3189282251271060,0.00117 3189282252650350,0.00533 3189282254039700,0.00354 3189282255355550,0.00319 3189282256719410,0.00242 3189282258079770,0.00266 3189282259444510,0.00429 3189282260837890,0.00344 3189282262195360,0.00317 3189282263564880,0.0033 3189282264960010,0.00437 3189282266324630,0.00107 3189282267661900,0.00113 3189282269022050,0.001 3189282270375740,0.001 3189282271712910,0.00124 3189282273063200,0.00095 3189282274414480,0.00077 3189282275765860,0.00085 3189282277132200,0.00118 3189282278555320,0.00096 3189282279873290,0.00087 3189282281229580,0.0013 3189282282565250,0.00096 3189282283910340,0.00091 3189282285277240,0.00108 3189282286609690,0.00089 3189282287950520,0.00092 3189282289307980,0.00116 3189282290665120,0.00106 3189282291987020,0.00125 3189282293299340,0.00105 3189282294662390,0.00091 3189282295974510,0.00096 3189282297342920,0.00106 3189282298692080,0.00088 3189282300020500,0.00102 3189282301378550,0.00108 3189282302724120,0.00089 3189282304077480,0.00089 3189282305425840,0.00096 3189282306813450,0.00079 3189282308229560,0.00084 3189282309565820,0.00096 3189282310930380,0.00111 3189282312297530,0.00098 3189282313656420,0.0008 3189282315070830,0.0011 3189282316373850,0.00105 3189282317672530,0.00083 3189282318972970,0.00108 3189282320251930,0.00083 3189282321540480,0.00094 3189282322866040,0.0009 3189282324158630,0.00101 3189282325458250,0.0009 3189282326741400,0.00101 3189282328025630,0.00082 3189282329340030,0.00083 3189282330618050,0.00093 3189282331924630,0.00081 3189282333271240,0.00105 3189282334573720,0.00095 3189282335881570,0.00088 3189282337176620,0.00081 3189282338469810,0.00134 3189282339805760,0.00085 3189282341173220,0.00088 3189282342473630,0.00076 3189282343775880,0.0009 3189282345079530,0.00081 3189282346354540,0.00066 3189282347633380,0.00089 3189282348938920,0.00078 3189282350242520,0.00092 3189282351528540,0.00079 3189282352810410,0.00105 3189282354105120,0.00102 3189282355371050,0.00073 3189282356700030,0.00096 3189282357986510,0.00077 3189282359268580,0.00081 3189282360569430,0.00103 3189282361851240,0.00084 3189282363133770,0.00088 3189282364422900,0.00077 3189282365714410,0.00097 3189282366991360,0.00074 3189282368266110,0.00096 3189282369568140,0.00082 3189282370850890,0.00073 3189282372143750,0.00101 3189282373442040,0.00069 3189282374710510,0.00089 3189282376005820,0.00087 3189282377302940,0.00087 
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op31;HostCpuOps;3189282231123140,0.01032 3189282246965860,0.00581 3189282248512370,0.00383 3189282249933350,0.0031 3189282251305000,0.00253 3189282252694990,0.00228 3189282254069100,0.00218 3189282255389620,0.00302 3189282256747450,0.00283 3189282258111140,0.00285 3189282259479950,0.00246 3189282260869830,0.00318 3189282262227770,0.00263 3189282263593030,0.00509 3189282265001650,0.0031 3189282266354120,0.00275 3189282267701670,0.00263 3189282269053590,0.00249 3189282270408650,0.00223 3189282271745460,0.00209 3189282273093680,0.00318 3189282274453640,0.00314 3189282275795570,0.00277 3189282277162920,0.00363 3189282278584340,0.00281 3189282279907810,0.00307 3189282281266580,0.00263 3189282282598250,0.00245 3189282283942190,0.00279 3189282285306590,0.00271 3189282286639760,0.00248 3189282287978390,0.00238 3189282289338800,0.00289 3189282290696720,0.00232 3189282292019470,0.00338 3189282293325280,0.00277 3189282294687960,0.00289 3189282296004810,0.00222 3189282297372200,0.00204 3189282298716780,0.00268 3189282300052800,0.0029 3189282301405790,0.00337 3189282302755950,0.00282 3189282304110370,0.00265 3189282305449440,0.00237 3189282306842150,0.00239 3189282308254560,0.00224 3189282309593380,0.00376 3189282310963130,0.00265 3189282312330300,0.00255 3189282313694780,0.0031 3189282315106920,0.00292 3189282316399800,0.0032 3189282317705550,0.00276 3189282319010350,0.00253 3189282320288310,0.00263 3189282321572600,0.00237 3189282322898260,0.0039 3189282324188280,0.00225 3189282325491410,0.00344 3189282326770630,0.00261 3189282328056940,0.00265 3189282329364710,0.00262 3189282330650830,0.00297 3189282331963840,0.00315 3189282333309730,0.00247 3189282334604880,0.00326 3189282335905560,0.00287 3189282337208290,0.00276 3189282338502610,0.00285 3189282339835890,0.00235 3189282341204740,0.00424 3189282342506890,0.00265 3189282343804420,0.00325 3189282345105190,0.00288 3189282346386420,0.00282 3189282347665470,0.00254 3189282348971250,0.00266 3189282350275710,0.0027 3189282351555420,0.00223 3189282352838460,0.00239 3189282354132480,0.00275 3189282355401710,0.00311 3189282356737840,0.00227 3189282358015580,0.00224 3189282359298560,0.00244 3189282360602460,0.00254 3189282361889450,0.00361 3189282363171970,0.00265 3189282364458080,0.00238 3189282365745440,0.00263 3189282367018980,0.00243 3189282368298150,0.00249 3189282369595700,0.00272 3189282370880700,0.00359 3189282372171130,0.0025 3189282373470770,0.00226 3189282374743420,0.00285 3189282376034360,0.00324 3189282377336120,0.00247 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op33;HostCpuOps;3189282231091320,0.00323 3189282246982980,0.00186 3189282248582430,0.00106 3189282249942630,0.00251 3189282251309360,0.0011 3189282252710810,0.00106 3189282254075560,0.00114 3189282255394820,0.00077 3189282256752290,0.00089 3189282258116850,0.00139 3189282259488050,0.00099 3189282260886460,0.00129 3189282262234430,0.00115 3189282263609280,0.00105 3189282265011970,0.00101 3189282266358620,0.00158 3189282267698600,0.00113 3189282269058080,0.00208 3189282270412170,0.00126 3189282271748910,0.00164 3189282273098250,0.00156 3189282274449870,0.00158 3189282275800470,0.00153 3189282277168420,0.00128 3189282278592150,0.00101 3189282279903390,0.0007 3189282281271840,0.0006 3189282282606500,0.00096 3189282283949450,0.0008 3189282285311770,0.00097 3189282286645060,0.00093 3189282287987020,0.00117 3189282289344780,0.00106 3189282290693890,0.00092 3189282292027770,0.00119 3189282293337280,0.00115 3189282294693180,0.00066 3189282296010380,0.00114 3189282297377850,0.0008 3189282298728170,0.00181 3189282300060330,0.00099 3189282301414380,0.00077 3189282302767710,0.00132 3189282304118690,0.00086 3189282305454470,0.00093 3189282306849430,0.00065 3189282308259550,0.00064 3189282309602150,0.0008 3189282310971570,0.00102 3189282312337630,0.00112 3189282313701240,0.00084 3189282315114170,0.00109 3189282316405050,0.00107 3189282317713540,0.00089 3189282319008180,0.00058 3189282320284970,0.00124 3189282321579120,0.00103 3189282322907310,0.00105 3189282324192940,0.00058 3189282325497230,0.00091 3189282326775960,0.00142 3189282328065360,0.00097 3189282329369370,0.00082 3189282330658760,0.00081 3189282331984760,0.00077 3189282333319430,0.00067 3189282334609730,0.0005 3189282335910660,0.00056 3189282337215000,0.00071 3189282338514840,0.00142 3189282339841480,0.00078 3189282341214820,0.00092 3189282342514400,0.0011 3189282343812200,0.00078 3189282345110210,0.00078 3189282346393420,0.00153 3189282347673340,0.00076 3189282348978950,0.00086 3189282350280080,0.00077 3189282351558810,0.00064 3189282352845340,0.00069 3189282354136440,0.00102 3189282355406800,0.00065 3189282356735140,0.00074 3189282358013260,0.00083 3189282359302660,0.00072 3189282360609740,0.00068 3189282361895250,0.00096 3189282363168160,0.00095 3189282364462980,0.00101 3189282365749290,0.00087 3189282367022570,0.00067 3189282368305940,0.0008 3189282369602960,0.00076 3189282370894960,0.00078 3189282372180340,0.00101 3189282373475100,0.00074 3189282374751510,0.00108 3189282376043460,0.00099 3189282377342880,0.00082 
Default/optimizer-Momentum/ApplyMomentum-op35;HostCpuOps;3189282231138750,0.00089 3189282247016140,0.00048 3189282248617610,0.00033 3189282249973910,0.00041 3189282251332480,0.00032 3189282252741320,0.0004 3189282254102160,0.00042 3189282255421970,0.00044 3189282256778190,0.0003 3189282258141770,0.00043 3189282259515510,0.00055 3189282260913220,0.00042 3189282262262380,0.00044 3189282263637510,0.00053 3189282265043920,0.0004 3189282266385390,0.00039 3189282267724230,0.00052 3189282269093000,0.00039 3189282270436970,0.00073 3189282271773280,0.00036 3189282273126460,0.00032 3189282274481600,0.00042 3189282275833850,0.00044 3189282277195400,0.00038 3189282278618010,0.00039 3189282279934280,0.00053 3189282281297030,0.00038 3189282282635270,0.00054 3189282283977890,0.00047 3189282285335590,0.00036 3189282286669710,0.00055 3189282288014690,0.0004 3189282289371010,0.0004 3189282290725510,0.00041 3189282292057550,0.00046 3189282293373290,0.00047 3189282294717080,0.00039 3189282296042200,0.00043 3189282297402400,0.00038 3189282298760680,0.00039 3189282300087770,0.00054 3189282301442630,0.00043 3189282302799290,0.00032 3189282304146480,0.0003 3189282305478470,0.00037 3189282306883390,0.0004 3189282308285070,0.00043 3189282309632700,0.00045 3189282311000620,0.00038 3189282312365510,0.00052 3189282313726040,0.00037 3189282315150050,0.00039 3189282316437160,0.00039 3189282317748490,0.00041 3189282319032960,0.00039 3189282320309240,0.00039 3189282321607330,0.00048 3189282322935450,0.00046 3189282324217220,0.0004 3189282325523950,0.00043 3189282326808190,0.00054 3189282328091740,0.00043 3189282329394750,0.00043 3189282330688020,0.00036 3189282332015680,0.00048 3189282333351160,0.00041 3189282334646470,0.00048 3189282335935140,0.00048 3189282337242980,0.00036 3189282338540560,0.00031 3189282339865400,0.00054 3189282341243360,0.00041 3189282342544730,0.00032 3189282343840040,0.00044 3189282345135120,0.00035 3189282346419150,0.0004 3189282347702040,0.0004 3189282349010190,0.00055 3189282350304360,0.00048 3189282351583480,0.00054 3189282352873990,0.00038 3189282354161340,0.0004 3189282355431350,0.00043 3189282356766060,0.00043 3189282358038880,0.00036 3189282359334230,0.00043 3189282360636210,0.00043 3189282361921590,0.00042 3189282363194180,0.0004 3189282364488900,0.00055 3189282365773570,0.00051 3189282367047470,0.00037 3189282368333870,0.00034 3189282369632090,0.00042 3189282370920750,0.00047 3189282372213020,0.0004 3189282373499830,0.00042 3189282374781270,0.00042 3189282376070840,0.00038 3189282377371140,0.00046 
Default/optimizer-Momentum/ApplyMomentum-op34;HostCpuOps;3189282231116190,0.00159 3189282247000330,0.00086 3189282248600710,0.00045 3189282249960690,0.0006 3189282251322260,0.00042 3189282252726890,0.00062 3189282254088710,0.00053 3189282255408030,0.00045 3189282256765290,0.0004 3189282258128380,0.00041 3189282259502150,0.00045 3189282260900300,0.00042 3189282262249660,0.00046 3189282263624480,0.00045 3189282265030730,0.00046 3189282266371720,0.00052 3189282267710350,0.00044 3189282269079550,0.00048 3189282270424080,0.00046 3189282271760340,0.00038 3189282273113910,0.00039 3189282274462050,0.00053 3189282275820290,0.00053 3189282277182520,0.00037 3189282278605520,0.00041 3189282279915410,0.00043 3189282281284050,0.0005 3189282282622550,0.00033 3189282283964520,0.00032 3189282285323180,0.00047 3189282286656420,0.00034 3189282288002300,0.0005 3189282289357730,0.00056 3189282290707920,0.00046 3189282292044630,0.00065 3189282293354790,0.0005 3189282294704410,0.00055 3189282296029340,0.00051 3189282297389130,0.00051 3189282298748150,0.00048 3189282300075450,0.00041 3189282301429890,0.00045 3189282302786690,0.00043 3189282304133740,0.00038 3189282305466140,0.00036 3189282306869920,0.00065 3189282308271560,0.00053 3189282309619610,0.00061 3189282310988080,0.00038 3189282312353480,0.00043 3189282313713030,0.00044 3189282315137050,0.00051 3189282316416930,0.00046 3189282317735240,0.00051 3189282319019540,0.00044 3189282320296930,0.00047 3189282321594560,0.00046 3189282322923070,0.00059 3189282324204060,0.0005 3189282325511660,0.00041 3189282326795710,0.00039 3189282328079980,0.00036 3189282329381810,0.00048 3189282330675810,0.00038 3189282332001860,0.00049 3189282333337810,0.0006 3189282334632300,0.00043 3189282335922130,0.0004 3189282337229980,0.00043 3189282338528100,0.00038 3189282339852800,0.00053 3189282341230100,0.00043 3189282342532080,0.00028 3189282343827570,0.00062 3189282345122260,0.00051 3189282346407160,0.00034 3189282347689610,0.00042 3189282348996980,0.00041 3189282350291340,0.00043 3189282351570340,0.00037 3189282352861350,0.0003 3189282354148280,0.0006 3189282355418810,0.00051 3189282356746340,0.00045 3189282358026760,0.00035 3189282359321350,0.00049 3189282360623060,0.00053 3189282361907810,0.00055 3189282363180610,0.00046 3189282364475430,0.00051 3189282365760780,0.00052 3189282367034700,0.00039 3189282368321510,0.00036 3189282369618760,0.00056 3189282370907710,0.00065 3189282372200200,0.00054 3189282373486360,0.00041 3189282374768390,0.00052 3189282376058570,0.00049 3189282377358700,0.00042 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op32;HostCpuOps;3189282231098490,0.01494 3189282246976030,0.00309 3189282248575630,0.0023 3189282249930840,0.00158 3189282251311750,0.00142 3189282252700110,0.00473 3189282254072570,0.0017 3189282255398550,0.00377 3189282256756590,0.00165 3189282258120000,0.00166 3189282259485040,0.00123 3189282260874230,0.00243 3189282262231610,0.0012 3189282263603350,0.00191 3189282265006020,0.00143 3189282266361490,0.00115 3189282267693980,0.00223 3189282269064990,0.00211 3189282270405860,0.00141 3189282271742780,0.00132 3189282273101670,0.00122 3189282274445850,0.002 3189282275806820,0.0015 3189282277171510,0.00117 3189282278581500,0.00141 3189282279899030,0.00189 3189282281273720,0.00126 3189282282595230,0.0013 3189282283939490,0.00159 3189282285314280,0.00131 3189282286648350,0.00187 3189282287975620,0.00138 3189282289351850,0.00292 3189282290691340,0.0013 3189282292016850,0.00107 3189282293329470,0.0025 3189282294697160,0.00194 3189282296012860,0.00163 3189282297375240,0.00116 3189282298720480,0.00135 3189282300050190,0.00171 3189282301403290,0.00133 3189282302753490,0.00129 3189282304108250,0.00104 3189282305457440,0.00216 3189282306839910,0.00109 3189282308263350,0.00108 3189282309590710,0.00108 3189282310960630,0.00141 3189282312327470,0.00171 3189282313703650,0.00261 3189282315103390,0.0014 3189282316407390,0.00206 3189282317702740,0.00182 3189282319003890,0.00158 3189282320280590,0.00238 3189282321570390,0.00104 3189282322894940,0.00155 3189282324195390,0.00112 3189282325500650,0.0013 3189282326782290,0.0016 3189282328054360,0.00136 3189282329373060,0.00322 3189282330648120,0.00132 3189282331975510,0.00189 3189282333313860,0.00138 3189282334615730,0.00242 3189282335913170,0.00152 3189282337205340,0.00139 3189282338500320,0.00099 3189282339844250,0.00165 3189282341201790,0.00136 3189282342504180,0.00143 3189282343801420,0.00099 3189282345113330,0.00126 3189282346390330,0.00167 3189282347663280,0.00114 3189282348968080,0.00154 3189282350283130,0.00122 3189282351553420,0.00101 3189282352835610,0.0014 3189282354130040,0.00115 3189282355409600,0.00156 3189282356730290,0.00199 3189282358011140,0.00114 3189282359307680,0.00183 3189282360600040,0.00136 3189282361898630,0.00127 3189282363163860,0.00161 3189282364465360,0.00164 3189282365743030,0.00113 3189282367016100,0.00134 3189282368295650,0.00123 3189282369592860,0.00174 3189282370889330,0.00149 3189282372168700,0.00147 3189282373479220,0.00228 3189282374741060,0.00115 3189282376032030,0.00129 3189282377332990,0.00188 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/BiasAdd-op27;HostCpuOps;3189282230984440,0.01749 3189282246914180,0.00428 3189282248468060,0.00183 3189282249891170,0.00123 3189282251258870,0.00168 3189282252611640,0.01074 3189282254024780,0.00271 3189282255341130,0.00286 3189282256704270,0.00295 3189282258065120,0.00254 3189282259401260,0.0203 3189282260822520,0.00388 3189282262180880,0.00347 3189282263551610,0.00298 3189282264945170,0.00307 3189282266312900,0.00094 3189282267649480,0.00094 3189282269010380,0.00092 3189282270363950,0.00111 3189282271695400,0.00087 3189282273050370,0.00093 3189282274402160,0.00126 3189282275753860,0.00099 3189282277119780,0.00084 3189282278542940,0.00114 3189282279860810,0.00102 3189282281217000,0.00082 3189282282553850,0.0009 3189282283898410,0.00088 3189282285263960,0.00136 3189282286598060,0.00087 3189282287937830,0.0009 3189282289284760,0.00101 3189282290652570,0.00118 3189282291974690,0.00086 3189282293288070,0.00076 3189282294649830,0.00079 3189282295962120,0.00115 3189282297330840,0.0009 3189282298675170,0.00086 3189282300008010,0.0008 3189282301365300,0.00101 3189282302709730,0.00081 3189282304065240,0.00102 3189282305412740,0.00094 3189282306796270,0.00093 3189282308217830,0.00104 3189282309554310,0.00092 3189282310918660,0.00092 3189282312284670,0.00106 3189282313639660,0.00091 3189282315057410,0.00132 3189282316362500,0.00083 3189282317659420,0.00124 3189282318955190,0.00098 3189282320239770,0.00109 3189282321526670,0.00114 3189282322853370,0.00129 3189282324141550,0.00076 3189282325445160,0.00085 3189282326729800,0.00074 3189282328013930,0.0009 3189282329327290,0.00104 3189282330605720,0.00092 3189282331907570,0.00083 3189282333258750,0.00094 3189282334561640,0.00089 3189282335863850,0.00123 3189282337164040,0.00116 3189282338457690,0.00085 3189282339792930,0.001 3189282341161760,0.00086 3189282342461670,0.001 3189282343762280,0.00084 3189282345062240,0.00082 3189282346343250,0.00085 3189282347621400,0.00082 3189282348925170,0.00102 3189282350229610,0.00087 3189282351516350,0.00113 3189282352798960,0.00091 3189282354092490,0.00098 3189282355359710,0.00076 3189282356687860,0.00093 3189282357973200,0.00097 3189282359255510,0.00079 3189282360556480,0.00097 3189282361838910,0.00089 3189282363117360,0.00079 3189282364407060,0.00092 3189282365698110,0.00076 3189282366979290,0.00117 3189282368253190,0.00084 3189282369550450,0.00082 3189282370838950,0.00082 3189282372131330,0.00084 3189282373429460,0.00105 3189282374698630,0.00084 3189282375993350,0.00114 3189282377290560,0.00082 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26;HostCpuOps;3189282230922780,0.02842 3189282246895370,0.00292 3189282248434680,0.00804 3189282249873840,0.00238 3189282251242580,0.00264 3189282252597470,0.0018 3189282254005890,0.00148 3189282255323350,0.00177 3189282256686890,0.00128 3189282258052110,0.00113 3189282259380500,0.00476 3189282260806310,0.00347 3189282262163080,0.00199 3189282263534200,0.00214 3189282264927810,0.0013 3189282266295490,0.0013 3189282267635760,0.00133 3189282268995660,0.0023 3189282270350770,0.00182 3189282271682570,0.00129 3189282273033390,0.00146 3189282274384780,0.00129 3189282275735920,0.00202 3189282277102970,0.00135 3189282278524390,0.00231 3189282279846340,0.00165 3189282281199790,0.00177 3189282282539740,0.00184 3189282283886150,0.00168 3189282285250810,0.00122 3189282286581780,0.00128 3189282287919610,0.00175 3189282289269430,0.00152 3189282290633530,0.00293 3189282291962250,0.00151 3189282293272160,0.0013 3189282294633490,0.0014 3189282295947360,0.00226 3189282297313810,0.00186 3189282298657390,0.00192 3189282299991620,0.00145 3189282301352070,0.00154 3189282302692740,0.00183 3189282304047700,0.00131 3189282305394280,0.00268 3189282306778530,0.00133 3189282308205380,0.00122 3189282309539300,0.00254 3189282310901570,0.00136 3189282312266950,0.00183 3189282313623270,0.0014 3189282315037820,0.00192 3189282316345620,0.00126 3189282317641660,0.00194 3189282318938220,0.00159 3189282320223170,0.00135 3189282321513180,0.00151 3189282322836150,0.00146 3189282324124200,0.00141 3189282325427860,0.00148 3189282326716690,0.00163 3189282328000310,0.00156 3189282329314520,0.00144 3189282330594310,0.00115 3189282331882470,0.00308 3189282333239910,0.00251 3189282334549170,0.00137 3189282335846520,0.00119 3189282337146550,0.0018 3189282338440430,0.00173 3189282339773450,0.00346 3189282341144110,0.00162 3189282342444070,0.00174 3189282343745000,0.00188 3189282345044470,0.00175 3189282346326430,0.00166 3189282347605610,0.00117 3189282348907800,0.00165 3189282350213050,0.00128 3189282351497820,0.00268 3189282352780590,0.00176 3189282354075470,0.00118 3189282355347020,0.00189 3189282356674470,0.00164 3189282357955520,0.00153 3189282359238070,0.00194 3189282360539300,0.00167 3189282361826790,0.00163 3189282363103430,0.00212 3189282364390970,0.00124 3189282365680970,0.00166 3189282366962020,0.00136 3189282368236840,0.00118 3189282369533760,0.00145 3189282370821970,0.00175 3189282372115170,0.00151 3189282373412630,0.00132 3189282374686290,0.00167 3189282375975170,0.00184 3189282377277870,0.00178 
Default/Mul-op30;HostCpuOps;3189282231060680,0.00317 3189282246952980,0.00222 3189282248500380,0.00141 3189282249921340,0.00105 3189282251293960,0.00107 3189282252679280,0.00321 3189282254057820,0.00219 3189282255377320,0.00283 3189282256736910,0.00189 3189282258100540,0.00252 3189282259466530,0.00416 3189282260859320,0.00307 3189282262213430,0.00464 3189282263581820,0.00311 3189282264990790,0.00324 3189282266343550,0.00096 3189282267682670,0.001 3189282269041740,0.00112 3189282270395070,0.00076 3189282271732010,0.00091 3189282273082700,0.00077 3189282274433240,0.00072 3189282275785310,0.00141 3189282277151760,0.0008 3189282278570520,0.00083 3189282279887870,0.00077 3189282281255820,0.00084 3189282282584670,0.00076 3189282283929440,0.00072 3189282285296690,0.00085 3189282286629330,0.00119 3189282287965330,0.0008 3189282289323630,0.0009 3189282290680350,0.00074 3189282292006470,0.00085 3189282293315270,0.00117 3189282294677790,0.00069 3189282295993720,0.00091 3189282297362350,0.00089 3189282298707300,0.00093 3189282300039370,0.00081 3189282301393330,0.00085 3189282302743300,0.00082 3189282304096860,0.00071 3189282305440080,0.00084 3189282306828290,0.00101 3189282308244440,0.00114 3189282309580490,0.00079 3189282310950230,0.00092 3189282312317120,0.00091 3189282313681640,0.00112 3189282315091660,0.00077 3189282316389190,0.0011 3189282317687900,0.00105 3189282318992610,0.00079 3189282320269970,0.00067 3189282321559540,0.00076 3189282322884680,0.00057 3189282324178380,0.00093 3189282325481690,0.0008 3189282326760450,0.00111 3189282328043900,0.00057 3189282329354900,0.00088 3189282330637350,0.00096 3189282331951250,0.00118 3189282333297740,0.00085 3189282334593190,0.00072 3189282335895670,0.00091 3189282337194750,0.0006 3189282338490010,0.00066 3189282339824930,0.001 3189282341191980,0.0006 3189282342493060,0.00084 3189282343790750,0.00085 3189282345094390,0.00076 3189282346377690,0.00092 3189282347652790,0.00064 3189282348957540,0.00079 3189282350261370,0.00101 3189282351543770,0.00058 3189282352825620,0.00066 3189282354120150,0.00064 3189282355390780,0.00094 3189282356719620,0.00078 3189282358000540,0.00083 3189282359287060,0.00119 3189282360588660,0.00089 3189282361875960,0.00098 3189282363152680,0.0009 3189282364441750,0.00063 3189282365732720,0.00066 3189282367005940,0.00067 3189282368284760,0.00072 3189282369582320,0.00095 3189282370869370,0.00069 3189282372158830,0.0006 3189282373460980,0.00107 3189282374729810,0.00105 3189282376021180,0.00092 3189282377322560,0.00084 
